what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1401223968585
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1401223968585
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1401223968585
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1401223968585
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1401223968585
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1401223968585
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1401223968585
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1401223968585
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1401223968585
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1401223968600
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1401223968600
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1401223968600
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1401223968600
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1401223968600
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1401223968600
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1401223968600
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1401223968600
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1401223968600
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1401223968600
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1401223968600
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1401223968600
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1401223968600
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1401223968600
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1401223968600
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1401223968600
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1401223968616
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1401223968616
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1401223968616
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1401223968616
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1401223968616
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1401223968616
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1401223968631
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1401223968631
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1401223968631
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1401223968631
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1401223968631
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1401223968631
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1401223968647
os,sysinfo,,,"win32",1401223968647
arch,sysinfo,,,"x86",1401223968647
ws,sysinfo,,,"win32",1401223968647
locale,sysinfo,,,"en_US",1401223968647
processors,sysinfo,,,"2",1401223968647
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1401223968647
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1401223968647
java.specification.name,sysinfo,,,"Java Platform API Specification",1401223968647
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401223968647
java.specification.version,sysinfo,,,"1.6",1401223968647
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1401223968647
java.version,sysinfo,,,"1.6.0_31",1401223968647
java.vm.info,sysinfo,,,"mixed mode",1401223968647
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401223968647
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401223968647
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1401223968647
java.vm.specification.version,sysinfo,,,"1.0",1401223968647
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1401223968647
java.vm.version,sysinfo,,,"20.6-b01",1401223968647
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1401223969677
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223970051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223971424
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1401223972387
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1401223972512
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1401223975913
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1401223976599
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1401223976740
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1401223976755
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1401223976802
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1401223976849
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223977769
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223984852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223985430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223986148
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1401223986163
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1401223986397
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1401223988051
